G_GAN,G_L1,D_loss,
5.892,820.049,-6.346,
6.385,2117.117,-3.028,
5.323,2173.352,-2.592,
5.676,553.858,-3.387,
6.142,932.534,-6.714,
5.533,2016.822,-3.694,
6.700,2252.843,-8.307,
4.476,579.201,-3.014,
5.460,2268.228,-2.673,
5.216,462.648,-3.709,
6.630,1884.849,-8.983,
6.637,746.487,-3.300,
6.493,2090.114,-2.850,
7.450,2326.414,-2.441,
5.107,454.812,-6.399,
7.150,510.915,-8.155,
6.115,508.984,-2.767,
5.882,2165.133,-2.777,
9.002,2275.100,-9.096,
5.760,634.131,-7.528,
6.375,741.453,-3.521,
6.261,420.312,-2.899,
6.162,1834.699,-4.812,
6.051,2438.546,-3.469,
4.344,715.973,-6.218,
5.381,2143.004,-3.921,
5.227,679.561,-3.185,
5.263,2229.341,-3.716,
5.973,2193.032,-6.137,
6.276,2535.616,-7.559,
5.196,937.252,-3.744,
6.306,2143.552,-3.467,
6.067,639.301,-6.382,
6.653,537.745,-3.030,
